bloque_mapa,donde_se_implementa,evidencia,propiedad,estado,evidencia_existe
1. Problema y preguntas,Sección 1 · PROYECTO,F1/notebooks/S1_F1_Definicion.ipynb,definición,implementado,True
2. Datos: YRBS 2023,Sección 5 · ficha y diccionario,F1/data/raw/XXH2023_YRBSS_data.csv,trazabilidad,implementado,True
2. Datos: diagnóstico y limpieza,F2 · S1_F2_Preprocesamiento,F2/notebooks/S1_F2_Preprocesamiento.ipynb,trazabilidad,implementado,True
2. Datos: dataset procesado,F2 · guardar_dataset,F2/data/processed/yrbs2023_seleccion_procesada.csv,reproducibilidad,implementado,False
3. Entorno y análisis,Sección 2 · verificar_entorno,requirements.txt,reproducibilidad,implementado,True
3. Librerías y dependencias,Sección 3.2 · verificar_requirements,requirements.txt,reproducibilidad,implementado,True
4. Control de versiones (Git),Sección 6 · git(),.gitignore,trazabilidad,implementado,True
5. GitHub (colaboración),"Sección 6 · remoto, ramas y autoría",README.md,trazabilidad,implementado,True
6. Documentación científica,Secciones 9-10 · metadatos y reflexión,docs/bitacora_decisiones.md,trazabilidad,implementado,True
7. Estructura del repositorio,Sección 3 · árbol verificado,README.md,reproducibilidad,implementado,True
8. Commits reales,Sección 6 · git log,README.md,trazabilidad,implementado,True
Análisis ponderado y modelación,Fase 3 · núcleo algorítmico y POO,F3/notebooks/S2_F3_NucleoAlgoritmico_Eficiencia_POO.ipynb,—,en desarrollo,True
Visualización y comunicación,Fase 4,F4/notebooks/Fase 4.md,—,proyectado,True
